Brand,Rating,Fuel,Horsepower,Transmission,Horsepower_norm
#VALUE!,4.371098041897468,Diesel,172.0,Manual,0.26584234930448225
Acura,4.371098041897468,Diesel,138.0,Manual,0.2132921174652241
Acura,4.9,Diesel,134.0,Manual,0.2071097372488408
Acura,4.7,Diesel,134.0,Manual,0.2071097372488408
Acura,5.0,Diesel,200.0,Manual,0.3091190108191654
Acura,4.7,Diesel,200.0,Manual,0.3091190108191654
Acura,4.7,Diesel,184.0,Manual,0.28438948995363217
Acura,5.0,Diesel,127.0,Manual,0.19629057187017002
Acura,4.9,Diesel,89.0,Manual,0.1375579598145286
Acura,4.3,Diesel,401.0,Manual,0.6197836166924265
Acura,4.9,Diesel,235.0,Manual,0.36321483771251933
Acura,4.9,Diesel,248.0,Manual,0.38330757341576505
Acura,5.0,Diesel,199.0,Manual,0.3075734157650695
Acura,4.6,Diesel,142.0,Manual,0.21947449768160743
Acura,5.0,Diesel,225.0,Manual,0.34775888717156106
Acura,4.9,Diesel,120.0,Manual,0.18547140649149924
Acura,4.6,Diesel,190.0,Manual,0.2936630602782071
Acura,3.9,Diesel,158.0,Manual,0.24420401854714066
Acura,4.8,Diesel,110.0,Manual,0.17001545595054096
Acura,4.9,Diesel,195.0,Manual,0.30139103554868624
Acura,4.6,Diesel,117.0,Manual,0.18083462132921174
Acura,4.9,Diesel,276.0,Manual,0.4265842349304482
Acura,4.9,Diesel,175.0,Manual,0.2704791344667697
Acura,3.7,Diesel,168.0,Manual,0.2596599690880989
Acura,4.9,Diesel,190.0,Manual,0.2936630602782071
Acura,5.0,Diesel,205.0,Manual,0.3168469860896445
Acura,4.8,Diesel,210.0,Manual,0.32457496136012365
Acura,4.9,Diesel,250.0,Manual,0.38639876352395675
Acura,4.9,Diesel,165.0,Manual,0.2550231839258114
Acura,4.9,Diesel,145.0,Manual,0.2241112828438949
Acura,4.8,Diesel,275.0,Manual,0.4250386398763524
Acura,4.7,Diesel,115.0,Manual,0.1777434312210201
Acura,4.371098041897468,Diesel,135.0,Manual,0.20865533230293662
Acura,5.0,Diesel,195.0,Manual,0.30139103554868624
Acura,4.371098041897468,Diesel,195.0,Manual,0.30139103554868624
Audi,4.8,Diesel,172.0,Automatic,0.26584234930448225
Audi,4.7,Diesel,180.0,Automatic,0.2782071097372488
Audi,4.5,Diesel,296.0,Automatic,0.4574961360123648
Audi,4.2,Diesel,150.0,Automatic,0.23183925811437403
Audi,4.9,Diesel,190.0,Automatic,0.2936630602782071
Audi,4.8,Diesel,350.0,Automatic,0.5409582689335394
Audi,4.9,Diesel,228.0,Automatic,0.35239567233384855
Audi,4.371098041897468,Diesel,288.0,Automatic,0.44513137557959814
Audi,4.371098041897468,Diesel,184.0,Automatic,0.28438948995363217
Audi,4.371098041897468,Diesel,300.0,Automatic,0.46367851622874806
Audi,4.9,Diesel,165.0,Automatic,0.2550231839258114
Audi,4.9,Diesel,143.0,Automatic,0.22102009273570325
Audi,4.7,Diesel,139.0,Automatic,0.21483771251931993
Audi,4.4,Diesel,128.0,Automatic,0.19783616692426584
Audi,4.371098041897468,Diesel,165.0,Automatic,0.2550231839258114
Audi,4.4,Diesel,215.0,Automatic,0.3323029366306028
Audi,4.9,Diesel,160.0,Automatic,0.2472952086553323
Audi,4.7,Diesel,127.0,Automatic,0.19629057187017002
Audi,4.8,Diesel,300.0,Automatic,0.46367851622874806
Audi,4.1,Diesel,195.0,Automatic,0.30139103554868624
Audi,4.5,Diesel,155.0,Automatic,0.23956723338485317
Audi,4.8,Diesel,119.0,Automatic,0.1839258114374034
Audi,4.7,Diesel,300.0,Automatic,0.46367851622874806
Audi,4.9,Diesel,295.0,Automatic,0.4559505409582689
Audi,4.7,Diesel,215.0,Automatic,0.3323029366306028
Audi,4.5,Diesel,300.0,Automatic,0.46367851622874806
Audi,4.4,Diesel,115.0,Automatic,0.1777434312210201
Audi,4.6,Diesel,138.0,Automatic,0.2132921174652241
Audi,4.7,Diesel,155.0,Automatic,0.23956723338485317
Audi,4.7,Diesel,150.0,Automatic,0.23183925811437403
Audi,4.8,Diesel,130.0,Automatic,0.2009273570324575
Audi,4.2,Diesel,125.0,Automatic,0.19319938176197837
Audi,4.7,Diesel,550.0,Automatic,0.8500772797527048
Audi,4.8,Diesel,155.0,Automatic,0.23956723338485317
Audi,4.7,Diesel,185.0,Automatic,0.28593508500772796
Audi,4.371098041897468,Diesel,301.0,Automatic,0.4652241112828439
Audi,4.8,Diesel,195.0,Automatic,0.30139103554868624
Audi,4.2,Diesel,335.0,Automatic,0.517774343122102
Audi,4.7,Diesel,161.0,Automatic,0.24884080370942813
Audi,4.8,Diesel,100.0,Automatic,0.1545595054095827
Audi,4.4,Diesel,200.0,Automatic,0.3091190108191654
Audi,4.3,Diesel,200.0,Automatic,0.3091190108191654
Audi,4.8,Diesel,261.0,Automatic,0.4034003091190108
Audi,5.0,Diesel,172.0,Automatic,0.26584234930448225
Audi,4.371098041897468,Diesel,401.0,Automatic,0.6197836166924265
Audi,4.3,Diesel,300.0,Automatic,0.46367851622874806
Audi,5.0,Diesel,250.0,Automatic,0.38639876352395675
Audi,4.7,Diesel,282.0,Automatic,0.43585780525502316
Audi,4.8,Diesel,175.0,Automatic,0.2704791344667697
Audi,4.371098041897468,Diesel,106.0,Automatic,0.16383307573415765
